code,product_name,attr,silver,llm_assisted
3286010012531,Déodorant Pierre d'alun d'origine naturelle et Grenade,form_factor,stick,liquid
3286010012531,Déodorant Pierre d'alun d'origine naturelle et Grenade,is_vegan,False,True
3286010012531,Déodorant Pierre d'alun d'origine naturelle et Grenade,is_organic,True,False
8412131417992,Oligovance,product_type,,other
8412131417992,Oligovance,form_factor,,powder
8412131417992,Oligovance,fragrance_status,,fragranced
3282770104592,Mat perfect FPS 50+ Fluido con color,form_factor,,liquid
3282770104592,Mat perfect FPS 50+ Fluido con color,fragrance_status,,fragrance_free
3182611231756,Salon de Provence,form_factor,cream_gel,solid_bar
3182611231756,Salon de Provence,is_vegan,True,False
3182611231756,Salon de Provence,is_organic,True,False
8886467010170,Dark Temptation Face & Body Soap,form_factor,powder,solid_bar
8886467010170,Dark Temptation Face & Body Soap,target_audience,unisex,men
4005900471956,Black & White Invisible Anti-Transpirant,form_factor,,spray
4005900471956,Black & White Invisible Anti-Transpirant,target_audience,unisex,men
3600520932897,L'Oréal Paris True Match N4 Beige Poeder,form_factor,,powder
3600520932897,L'Oréal Paris True Match N4 Beige Poeder,target_audience,unisex,women
3600520932897,L'Oréal Paris True Match N4 Beige Poeder,fragrance_status,,unknown
3337872414145,Cicaplast Mains,fragrance_status,fragranced,fragrance_free
6916790261955,shiny,product_type,,hair_care
6916790261955,shiny,form_factor,,liquid
6916790261955,shiny,fragrance_status,,unknown
6916790261955,shiny,is_vegan,False,True
8411135006263,Gel fijador control total,product_type,,hair_care
8411135006263,Gel fijador control total,fragrance_status,,unknown
