code,product_name,brands,ingredients_text,quantity,silver_beverage_type,manual_beverage_type,silver_sugar_class,manual_sugar_class,silver_is_organic,manual_is_organic,silver_is_carbonated,manual_is_carbonated,silver_nutri_score_grade,manual_nutri_score_grade,silver_nova_group,manual_nova_group,silver_protein_class,manual_protein_class,silver_is_vegan,manual_is_vegan
5011348023632,HOBGOBLIN GOLD BEER,Hobgoblin,"ia AnaMAX Se 18 PLEASE ENJOY RESPONSIBLY The UK Medical Officers recommend adults do not regularly 1.9 drink more than 14 units per week. UK Units be drinkaware.co.uk 440mLe Recycle Alc. 4.2% Vol. 4.2% alc./vol. BEER/BIÈRE/CERVEZA/OL/OLUT/BIRRA Contains: barley, wheat / Contient : de l'orge, du blé / Contiene: cebada, trigo / Innehåller: korn, vete / Sisältää: ohra, vehnää / Contiene: orzo, grano. Produced by/Produit par / Producido por Producerad av / Tuottanut / Prodotto da: Carlsberg Marston's Brewing Co. Ltd., Wychwood Brewery, Witney, Oxfordshire, OX28 4DP, UK Carlsberg Breweries, J.C. Jacobsens Gade 1, 1799 København V. Denmark. Product of England / Produit d'Angleterre / Producto de Inglaterra/ Tillverkad i England / Englantilainen tuote / Prodotto dell'Inghilterra. Best before: See base / À consommer avant le: voir le fond / Consumir preferentemente antes del: ver por debajo / Bäst före: Se botten/Parasta ennen: katso pohjan / Da consumarsi preferibilmente entro: vedere fondo.",44cl,,,,,False,,True,,,,,,,,,
3222473216338,100 % Pur jus de pomme,Casino,Jus de pomme,1 l,juice,,high,,False,,False,,C,,1,,0,,True,
5010019601797,Whisky Ecosse blended sans âge 100 cl Long John,Long John,Whisky écossais,100 cl,,,0,,False,,False,,,,3,,0,,,
5413963300011,XX Bitter,De Ranke,"WATER, _BARLEY MALT_, HOPS, SUGAR, YEAST.",33 cL,,,,,False,,True,,,,3,,,,,
8001120721747,Bevanda alla pera,Coop,"Purea di pera 50%, acqua, succo di uva da concentrato 20%, succo di limone da concentrato, aromi naturali, vitamina C.",3×200ml,juice,,med,,False,,False,,C,,4,,0,,,
3464939208253,Lou Pas d'Estrech,Le Sauzet,Vin bio,75 cl,,,0,,True,,False,,,,3,,0,,,
8431876106527,Manzanilla,Carrefour BIO,Manzanilla ecológica.,"28 g (neto)  (20 x 1,4 g)",,,,,True,,False,,,,1,,,,True,
3770008430136,Rocket Fuel,Ibex,"EAU, _ORGE_, _BLÉ_, AVOINE, HOUBLONS, LEVURE, CO2",33cl,,,,,False,,True,,,,4,,,,True,
8001620003862,San Benedetto Thè Verde & Cactus,San Benedetto,"Acqua minerale naturale (80%), Zucchero, Sciroppo di fruttosio-glucosio, Succo dei cladodi di cactus opuntia (1%) da concentrato, Infuso di thè verde (0,2%), Acidificante: acido citrico, Aromi, Antiossidante: acido ascorbico, Edulcorante: sucralosio","1,5 l",tea,,low,,False,,False,,D,,4,,0,,,
4056489426219,High protein milk drink,QUALITÉ SUISSE,"Magermilch, Milchprotein, Wasser, Milchmineralstoffe, Laktase.",1L,,,low,,False,,False,,B,,4,,med,,False,
7790710000188,Silueta,CBSé,"Yerba Mate elaborada con palo, Poleo, Rosa Mosqueta, Hinojo, Menta, Cedrón, Boldo, Saborizante de Manzana, Vitaminas, Zinc.",500 g,,,,,False,,False,,,,1,,low,,,
9324492003167,Gloria Jeans Rich Dark Roast 16 Coffee Capsules,"Gloria Jeans,Caffitaly",100% Arabica Coffee,16 Capsules x8g - 128g,coffee,,,,False,,False,,B,,1,,,,True,
4056489676676,Sparkling Lemonade Lemon flavour,Duc De Coeur,"carbonated spring water, sugar, citric acid, natural flavorings, stabilizer: glycerol esters of wood rosin; colorings: curcumin, riboflavins","0,75 l",soda,,,,False,,True,,D,,4,,,,,
8436538824016,Vino tempranillo 2011,Gota de Oro,"Uvas rosas, sulfitos",75 cl,,,,,False,,False,,,,3,,,,,
20649616,Perlenbacher,perlenbacher,Contains Barley and Gluten.,500ml,,,,,False,,True,,,,3,,,,,
8001120715159,Macinato moka nero intenso,Coop,CAFFÈ MACINATO,250 g,coffee,,,,False,,False,,,,1,,med,,True,
3700214614990,Goyave passion ,Alter Eco,"eau, purée de goyave* (23,4%), jus de pomme à base de concentré* (10,3%), sucre de canne*, jus de fruit de la passion à base de concentré (2%), arôme naturel. - *ingrédients issus de l'Agriculture Biologique",75 cl,,,high,,True,,False,,E,,4,,0,,,
4002160052390,Orange,Granini,Orangensaft aus Orangensaftkonzentrat 100%.,6l,juice,,med,,False,,False,,C,,1,,low,,True,
0036731323002,bebida Gatorade lima limón 1lt pet,Gatorade,"Agua, Jarabe de maíz de alta fructuosa, Azúcar, Ácido cítrico, Sal, Citrato de sodio, Fosfato monopotásico, Goma arábiga, Goma éster, Saborizante natural sabor lima–limón, Tartrazina. Pasteurizado.",1 l,,,high,,False,,False,,E,,4,,0,,,
7708507552123,Agua sin gas,Cielo,"Información Nutricional Tamaño por porción 1 Vaso (240 ml) Porciones por envase aprox.: 10.5 Cantidad por porción Calorias 0 Valor Diario&quot; 0% Grasa total Og Sodio Omg Carbohidrato total Og Azucares 0g Proteina Og 0% 0% No es fuente significativa de Calorías de la Grasa, Dietaria, Vitamina A, Vitamina C, Calcio y Hierro. Grasa Saturadă, Grasa Trans, Colesterol, Fibra *Los porcentajes de Valores Diarios están basados en una dieta de 2000 calorías. FABRICADO POR: Km. 2 Vi : A IEOO",1,water,,,,False,,False,,A,,,,,,,
8435356172088,Maceta de tomillo,Ideal Chef,Tomillo.,1 planta,,,low,,True,,False,,B,,1,,med,,True,
3186127786267,Merlot Cabernet Sauvignon Pays d'Oc 2011 IGP Bio Cuvée des Jours Paisibles,Cuvée des Jours Paisibles,Vin rouge Bio,750 ml,,,low,,True,,False,,,,3,,0,,,
9120008990361,Rote Traube mit stillem Wasser,Höllinger,"druivensap, water","0,2 l",,,med,,True,,False,,E,,,,0,,True,
3760195901502,Fines bulles de fruits pomme et framboise,Coeur de Pom',"pommes 91 ,8% - framboise 7,8% - C02","27,5 cl",juice,,high,,False,,False,,E,,,,0,,,
5400141087482,Farrukh Hussain,"Colruyt, Everyday",Ingrédients,2 l,water,,,,False,,False,,A,,,,,,,
