code,product_name,brands,generic_name,categories_tags,ingredients_text,silver,sonnet45,gpt4o,gemini25flash,status,enum_choices,your_arbitrage,note
0056100078098,Active Foam + Whitening Minty Fresh Striped Dentifrice with Flouristat,"Crest, Crest Complete, Scope",,"en:non-food-products,en:open-beauty-facts,en:toothpaste","Sodium flouride 0.243%, Water, Sorbitol, Hydrated silica, Disodium pyrophosphate, Sodium lauryl sulfate, Flavour, Sodium hydroxide alcohol 0.7%, Sodium saccharin, Xanthan gum, Glycerin, Cellulose gum, Carbomer, Polysorbate 80, Sodium benzoate, Cetylpyridinium chloride, Benzoic acid, Titanium dioxide...",oral,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0056100082217,Regular Paste Cavity Protection Dentifrice with Flouristat,Crest,,"en:non-food-products,en:open-beauty-facts,en:toothpaste","Sodium flouride 0.243%, Sorbitol, Water, Hydrated silica, Sodium lauryl sulfate, Trisodium phosphate, Flavour, Cellulose gum, Sodium phosphate, Carbomer, Sodium saccharin, Titanium dioxide, BLue1",oral,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0058000142107,Colgate TotalAnticavity Flouride and Antigingivitis Whitening Toothpaste Gel,Colgate-Pamolive,,"en:non-food-products,en:open-beauty-facts,en:toothpaste,en:whitening-toothpastes","Silicon Dioxide Hydrate 5%, Zinc (zinc oxide, zinc citrate) 0.96%, Sodium Fluoride 0.32%, Aqua, Aroma, Benzyl Alcohol, Cellulose Gum, CI 74160, Cl 74260, Cocamidopropyl Betaine, Glycerin, Hydrated Silica, L-Arginine, Phosphoric Acid, Poloxamer 407, Sodium Lauryl Sulfate, Sodium Saccharin, Sucralose,...",oral,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0058000313194,Regular Cavity Protection Flouride Toothpaste,Colgate,,"en:non-food-products,en:open-beauty-facts,en:toothpaste","Sodium monoflourophosphate 0.76%, Aqua, Aroma, Cellulose gum, Dicalcium phosphate dihydrate, Glycerin, Sodium luryl sulfate, Sodium saccharin, Tetrasodium pyrophosphate.",oral,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0066400012937,Body Envy Max Volumizing Mousse,Herbal Essences,,en:hair-sprays,"WATER/EAU, ISOBUTANE, POLYQUATERNIUM-4, PROPANE, PROPYLENE GLYCOL, FRAGRANCE/PARFUM, C9-11 PARETH-8, DMDM HYDANTOIN, DISODIUM EDTA, CITRIC ACID.",hair,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0070942304153,Gel dentifrice G.U.M Kids,G.U.M,,"en:hygiene,en:toothpastes",,oral,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0072151452229,Avocado & Oatmeal Clay Mask,Freeman,,en:cosmetic-products,,,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0073330251756,Hand Wash Handseife,Apart,"Wrong code, see 4013356251756","en:hygiene,en:soaps",,body,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0077326449783,Tom's of Maine Toddler,Tom's of Maine,,"en:non-food-products,en:open-beauty-facts,en:toothpaste","Glycerin, propanediol, hydrated silica, aqua, xylitol, benzyl alcohol, carrageenan, aroma, citric acid.",oral,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
0088300104437,Calvin Klein Be Eau de Toilette,Calvin Klein,"Wees jezelf, dat is het idee achter Calvin Klein Be Eau de Toilette. Deze geur is origineel met zijn transparante muskusaroma en elementen van braambes. Dit parfum is zowel geschikt voor dames als voor heren.","en:perfumes,nl:beauty,nl:herenparfum","ALCOHOL DENAT., AQUA/WATER/EAU, PARFUM/FRAGRANCE, BENZYL SALICYLATE, LINALOOL, HEXYL CINNAMAL, LIMONENE, HYDROXYCITRONELLAL, COUMARIN, CITRAL, GERANIOL, BENZYL BENZOATE.",fragrance,,,,no_llm_data,"body, face, hair, oral, deo, sun, makeup, fragrance, intimate, other",,
