code,product_name,brands,ingredients_text,quantity,silver_milk_source,manual_milk_source,silver_texture,manual_texture,silver_country_of_origin,manual_country_of_origin,silver_fat_class,manual_fat_class,silver_is_pdo,manual_is_pdo,silver_is_organic,manual_is_organic,silver_is_ultra_processed,manual_is_ultra_processed
3222110003925,Le Brebiou des Pyrénées,"Fromageries des Chaumes, Le brebiou, Savencia","Lait de brebis pasteurisé (Origine: France), sel ferments. Fabriqué dans un atelier utilisant du lait de vache et de brebis.",180 g,sheep,sheep,soft,soft,france,france,high,,False,False,False,False,False,False
3252950008088,Camembert de Normandie,Fromagerie E. Graindorge,"Camembert de Normandie AOP (g.U.) Französischer Weichkäse, mindestens 45% Fett i.Tr., mit Rohmilch hergestellt Zutaten Kuhrohmilch, Salz, Milchsäurekulturen, tierisches Lab. Durchschnittliche Nährwerte je 100 a Bei 4°C bis 8°C 1120KJ mindestens",250g,cow,cow,soft,soft,france,france,medium,high,True,True,False,False,,False
5052909781059,Mature Slices,Tesco,"Cheese (60%) (_Milk_), Water, Palm Oil, Emulsifying Salts (Sodium Polyphosphate, Trisodium Phosphate, Calcium Phosphate), Modified Potato Starch, Whey Powder (_Milk_), Flavouring (_Milk_), _Milk_ Proteins, Colours (Beta-Carotene, Paprika Extract), Acidity Regulator (Lactic Acid)",10 x 20g,,cow,,processed,,uk,low,,False,False,False,False,True,True
8011608000011,Ricotta fresca,Elda,"GB/ RICOTTA Ingredients: whey from pasteurized cow's MILK, MILK cream, salt, acidity regulator: lactic acid. Use by: see side. Keep refrigerated at 0°/+6°C.",250 g,,cow,fresh,fresh,italy,italy,low,,False,False,False,False,,False
8411394462121,Queso fresco de vaca y cabra,Vega e Hijos,"LECHE DE VACA (MIN. 45%) Y CABRA (MIN. 30%), CUAJO Y SAL.",250 g,,mixed,fresh,fresh,,spain,medium,,False,False,False,False,False,False
9352042001608,dairylea Cheddar,Mondelez international group,"cheese (minimum 70%) (_milk_,salt, starter culture, enzymes), water, mineral salts (331, 339), butter or cream (from _milk_) or _milk_ fat, salt, _milk_ solids, food acid (270), preservatives (200, 234), colour (160b)",500 g,,cow,,processed,,,,,False,False,False,False,True,True
4056489125945,Manouri Cheese,"Eridanous, Lidl",Full fat cheese made with sheep's and goats' _milk_.,200 g,,mixed,fresh,fresh,,other,very_high,very_high,True,False,False,False,False,False
8901262020015,Cheese slices,Amul,"Cheese, _milk_ solids, emulsifying salts (E452, E339, E341, E331), iodized salt, class II preservatives (E200, E234)",200 g,,,,processed,,,,,False,False,False,False,True,True
3329770062252,Calin extra 0%,Yoplait,"Lait écrémé déshydraté , Lait écrémé , Concentré des minéraux du lait , Ferments lactiques (lait) , Vitamine D.",8 x 100 g,,cow,,fresh,,france,low,low,False,False,False,False,False,False
3265776722397,Raclette,"Campagne De France, Maîtres Laitiers du Cotentin","LAIT PASTEURISÉ,sel, FERMENTS LACTIQUES (DONT LAIT) ET D'AFFINAGE (DONT lait) CONSERVATEURS : E235 ET LYSOZYME D'ŒUF, COLORANT DE LA CROUTE: E160b 'ORIGINE : FRANCE",400 g,,cow,,soft,,france,high,,False,False,False,False,True,False
8480017138989,Queso rallado grana padano,Selección munDia,"Leche cruda de vaca, sal, cuajo, conservador (lisozima (contiene huevo)),",100 g,,cow,,hard,italy,italy,high,,True,True,False,False,False,False
8000430139075,Mozzarella,Invernizzi,"Latte, sale, acido citrico",3 x 100 g,cow,cow,fresh,fresh,italy,italy,medium,,False,False,False,False,False,False
7772919470016,Queso Tipo Mozzarella,"fromelier,Lila","PROTEÍNA LÁCTEA, GRASA VEGETAL, ESPESANTE (E-1420, E-1404, E-1442), SAL, EMULSIFICANTE (E-331), ESTABILIZANTE (E-407, E-410), REGULADOR DE LA ACIDEZ (E-270), CONSERVANTE (E-202), AGUA POTABILIZADA.",450 g,,cow,fresh,processed,italy,,,,False,False,False,False,True,True
8002626020228,Burratina,Sabelli,"Mozzarella (latte, sale, caglio, fermenti lattici), crema di latte 30%, sale.",270 g,cow,cow,fresh,fresh,italy,italy,medium,,False,False,False,False,False,False
8480017057082,Queso Fresco,Dia,"_Leche_ de vaca pasteurizada, sal, conservador (E202) y coagulante microbiano.","250 g (4 x 62,5 g)",cow,cow,fresh,fresh,,,low,,False,False,False,False,False,False
8014745013814,Burratina al tarfufo,Murgella,"Latte vaccino pastorizzato, panna UHT (min. 35%), siero innesto, preparato di tartufo estivo macinato in olio extravergine di oliva (min. 3,45%) (Tartufo estivo 85% (Tuber estivum Vitt.), olio extravergine di oliva, sale, aroma), sale, caglio microbico",100 g,,cow,fresh,fresh,italy,italy,medium,,False,False,False,False,,False
7501669805164,Queso mozzarella en barra,Esmeralda,"Leche parcialmente descremada pasteurizada de vaca, sal yodada, cloruro de calcio, cuajo, cultivos lácticos.",400 g,,cow,,other,,,medium,,False,False,False,False,False,False
5712872293040,Salad cheese,Lekos,"pasteurisierte Kuhmilch, Salz, Käsereikulturen (enthält Milch), mikrobielles Lab.",250 g,,cow,,other,,,medium,,False,False,False,False,False,False
8002670002010,Mascarpone,Granarolo,"Pasteurized cow's _milk_ cream, pasteurized cow's _milk_, acidity regulator: E330.",250 g,cow,cow,cream,cream,italy,italy,very_high,,False,False,False,False,False,False
01225990,10 Mature British Cheddar Slices,Sainsbury's,Cheddar Cheese (Cows' _Milk_).,240g,cow,cow,,hard,uk,uk,very_high,,False,False,False,False,False,True
4042089001451,Ziegen-Rolle (Weichkäse) natur 45 %,Der Grüne Altenburger,"Ziegenmilch, Speisesalz, mikrobieller Labaustauschstoff",150 g,goat,goat,,soft,,germany,medium,high,False,False,False,False,False,False
7501040080012,Queso estilo Panela La Villita,La Villita,"Leche descremada reconstituida pasteurizada, Grasa y/o aceites vegetales parcialmente hidrogenados, Grasa butírica, Caseinatos, Sal yodada, Saborizantes, Monoestearato de glicerilo, CMC, Goma guar, Carragenina, Fibra de soya, Sorbato de Potasio, Natamicina, Propionato de calcio, Ácido láctico, Ácido acético, Cloruro de calcio, Cuajo, Nisina.",400 g,,cow,,fresh,,other,medium,,False,False,False,False,True,True
8000430070415,Galbanino,Galbani,"Latte, sale, caglio.",550 g,cow,cow,fresh,soft,,italy,high,,False,False,False,False,False,False
3370011440230,Mont d'Or au lait cru AOP,Badoz,"Lait cru (Origine lait : France), sel, ferments lactiques, présure.",400 g,cow,cow,soft,soft,france,france,high,,True,True,False,False,False,False
2350385001931,Queso tierno,Entrepinares,"leche pasteurizada de vaca (min 60%), oveja (min.15%) y cabra (min.10%), sal, cuajo y fermentos lácticos. SIN GLUTEN SIN HUEVO. Origen de la leche España.",250,,mixed,,soft,,spain,high,,False,False,False,False,False,False
4039503041025,Speisequarkzubereitung Halbfettstufe,Albhof,"Quark-Halbfettstufe, Joghurt",500 g,,cow,cream,fresh,,germany,low,low,False,False,False,False,False,False
4006402035516,Almzeit Pfeffer,Bergader,"pasteurisierte _Milch_, Pfeffer grün 2,0%, Kochsalz, Käsereikulturen, mikrobieller Labaustauschstoff.",175g,,cow,soft,other,,germany,very_high,,False,False,False,False,False,False
4056489096979,Parmigiano Reggiano,Milbona,"Rohmilch, Speisesalz, Tierisches Lab",125 g,,cow,,hard,italy,italy,high,,True,True,False,False,False,False
3564709051765,Cancoillotte à l'ail,Nos Régions Ont du Talent,"Eau, _lait_ écrémé caillé, _beurre_, ail en poudre 1 %, sels de fonte: citrates de sodium, sel. Traces de fruits à coque.",250 g,,cow,,processed,france,france,low,,False,False,False,False,False,True
8480010290158,Queso tierno,Eroski,"Leche desnatada pasteurizada de:vaca (65% min.), oveja (10% mín.) y cabra (10% min.), sal, coagulante, secuestranle: cloruro cálcico y fermentos lacticos (leche). CORTEZA: Conservadores E-235 y E-202. Origen de la leche: España",250 g,,mixed,,soft,,spain,medium,,False,False,False,False,False,False
3184670001387,La faisselle 0% - fromage blanc de campagne,Rians,_lait_ de vache écrémé pasteurisé.,400 g (4 x 100 g),,cow,cream,fresh,,france,low,low,False,False,False,False,False,False
7501040083518,Queso Gouda rebanado fud,Fud,"Queso gouda, (Leche pasteurizada de vaca, sal yodada, cultivo láctico, cuajo), agua, grasa butírica, caseinatos, citrato de sodio, ácido láctico, sal yodada, sorbato de potasio, acetato de sodio.",140 g,,cow,,processed,,netherlands,high,,False,False,False,False,False,True
