code,product_name,brands,ingredients_text,quantity,silver_grain_type,manual_grain_type,silver_is_filled,manual_is_filled,silver_is_organic,manual_is_organic,silver_is_gluten_free,manual_is_gluten_free,silver_pasta_shape,manual_pasta_shape,silver_is_vegan,manual_is_vegan,silver_nutri_score_grade,manual_nutri_score_grade,silver_protein_class,manual_protein_class
8057680430643,Ravioli ricotta e spinaci,Pasta San Vicino vera marchigiana,"del ripieno: del ripieno 40%: ricotta di bovino 82% di cui 32,8% sul prodotto finito (siero di LATTE vaccino, sale, correttore di acidità: acido citrico), farina di GRANO tenero 00, spinaci 6,5 % |(spinaci 98% di cui 2,5 % sul prodotto finito, fibra vegetale 1,5%, sale), grana padano DOP (LATTE, sale, caglio, conservante: lisozima uovo), sale, noce moscata, pepe. Prodotto in uno stabilimento che |utilizza FARRO, FRUTTA A GUSCIO, PESCE, MOLLUSCHI, CROSTACEI, SOIA, SOLFITI,SEDANO e prodotti a base di LATTE.",250 g,wheat,,True,,,,,,,,,,C,,med,
20153229,Mais klein,Freshona,"Maiskörner, Wasser, Speisesalz.",340g,,,False,,False,,False,,,,True,,B,,low,
8437010509759,Harina almendras,La Finestra sul Cielo,"Harina de almendras. Trazas de gluten, altramuces y frutos de cáscara.",200 g,,,False,,True,,False,,,,True,,C,,high,
3038354592305,LE Riz BASMATI PUR HIMALAYA L'Extra Blanc,TAUREAU AILÉ,Riz Basmati long grain,500 g ℮,rice,,False,,,,,,,,,,B,,med,
20621452,Special Flakes Red Berries,Crownfield,"59% Wholegrain Wheat, Ground Rice, Sugar, 4,5% Freeze Dried Fruit in Varying Proportions (Strawberries, Cherries), Salt, Barley Malt Extract",425 g,,,False,,False,,False,,,,True,,B,,med,
7773435930091,Pan Molde Integral con Cereales,Panadería Samuel,"Harina de trigo, Huevo, Jalea de Malta, Sal, Leche en Polvo, Azúcar morena, Levadura fresca, Manteca vegetal, Sésamo, Chía, Avena instantánea, Salvado de Trigo.",700 g,,,False,,,,,,,,,,,,,
4058172713989,Hafer Drink Natur,DmBio,"Wasser, 11% VOLLKORNHAFER, Sonnenblumenöl, Meersalz",1l,oat,,False,,True,,False,,,,True,,D,,0,
8032605060709,Tagliatelle - pasta all'uovo trafilata al bronzo,La Pasta di Camerino,"Semola di grano duro, uova fresche 35%. Contiene glutine e uova. Può contenere tracce di soia e senape.",500 g,wheat,,False,,,,,,tagliatelle,,,,A,,high,
3279231504008,Gâteau de riz sur lit de caramel,La Fermière,"_Lait_ entier, _crème_, caramel (10 %) : sucre caramélisé - eau - amidon de tapioca, riz de Camargue (9 %), sucre, _œufs_, infusion de gousses de vanille (_lait_).",300 g (2 x 150 g),,,False,,False,,False,,,,False,,C,,low,
7640143670161,Farfalle Tricolore,PPURA,"Hartweizengrieß, Vollkornhartweizengrieß, Tomatenpulver, Spinatpulver",500 g,wheat,,False,,True,,False,,,,False,,A,,med,
8426904170755,Lino marrón,Biográ,Lino marrón* (100%). (* Ingredientes procedentes de la agricultura ecológica).,250 g,,,False,,True,,False,,,,True,,,,high,
8437007759051,Yogurt de Arroz Cacao,NaturGreen,"Agua, azúcar de caña*, arroz* (4%), sirope de arroz* (3%), cacao* (2,9%: cacao parcialmente desgrasado* y pasta de cacao*), aceite de girasol prensado en frío*, almidón de maíz*, almidón de tapioca*, proteína de guisante* y espesante: harina de semilla de algarroba*. (*Ingredientes procedentes de la Agricultura Ecológica).",250 g (2 x 125 g),,,False,,True,,True,,,,False,,C,,low,
8428159100143,Seitán,Natursoy,"Harina de _trigo_ (56%)*, agua, tamari* [_soja_*, agua, sal marina, mikawa mirin* (arroz dulce*, agua, arroz*), harina de _cebada_ tostada*, koji (Aspergillus oryzae)], ajo en polvo*, jengibre*, alga kombu",250 g,,,False,,True,,False,,,,True,,A,,high,
3267460050458,Torsades au sarrasin,"Biovence, Les Moulins De Provence",Farine de sarrasin biologique.,250 g,mixed,,False,,True,,True,,,,True,,A,,med,
20503550,Knusper Klassik Hafer-Müsli,Crownfield,"55% Hafervollkornflocken, Zucker, Glukosesirup, Sonnenblumenöl, Getreide-Extrudat [Reis, Zucker, Weizenkleber, Malzmehl (Gerste, Weizen), Speisesalz, Gerstenmalzextrakt), 5% Weizenvollkornflocken, 3 % Kokosraspel, Backtriebmittel: Natriumcarbonate; Karamellzuckersirup, natürliches Aroma, Antioxidationsmittel: stark tocopherolhaltige Extrakte.",750 g,,,False,,False,,False,,,,False,,C,,med,
3421557921247,Krounchy raisins figues noix du Brésil,Grillon d'Or,"Pétales de blé*, flocons d'avoine complets* 12%, flocons de blé complets*, flocons de seigle complets*, farine de blé*, purée de cacahuètes*, raisins secs* (raisins* 8,9%, huile de tournesol*), figues séchées* (figues* 8,5%, farine de riz*), noix du Brésil* 7%, billettes de riz* (riz*, sel), jus de citron*, antioxydant: extrait de romarin*.",450 g,,,False,,True,,False,,,,False,,B,,med,
4058172329210,Dinkelmehl Type 630,"DmBio, dm",Bio Dinkelweizenmehl Type 630 100%,1000g,wheat,,False,,True,,False,,,,True,,A,,med,
