code,product_name,brands,ingredients_text,quantity,silver_product_type,manual_product_type,silver_form_factor,manual_form_factor,silver_target_audience,manual_target_audience,silver_fragrance_status,manual_fragrance_status,silver_is_vegan,manual_is_vegan,silver_is_organic,manual_is_organic
26664844,Tantum verde colluttorio 0.15%,Angelini,"0.15 g di benzidamina cloridrato (pari a 0.134 g di benzidamina). Eccipienti: Glicerolo, etanolo (96 per cento), saccarina, _metile paraidrossibenzoato_, sodio bicarbonato, aroma menta, polisorbato 20, giallo chinolina (E104), blu patent V (E131), acqua depurata.",240 ml,,other,,liquid,unisex,unisex,fragranced,fragranced,False,False,False,False
4103040104762,sebamed Lotion,sebamed,"Aqua, Glycerin, Cetearyl Alcohol, Sorbital, Hexyldecanol, Hexyldecyl Laurate, Chamomilla recutita flower extract, Allantoin, Sodium Cetearyl Sulfate, Citric Acid, Sodium Hydroxide, Sodium Acetate, Sodium Ascorbate, Xanthan Gum, Dimethicone, Parfum, Alcohol, Phenoxyethanol, Sodium Benzoate, Benzyl Alcohol",400ml,,body_cream,cream_gel,liquid,unisex,unisex,fragranced,fragranced,False,False,False,False
3256222741178,Dentifrice Blancheur,U,"Aqua, sorbitol, hydrated silica [nano], tetrapotassium pyrophosphate, sodium c14-16 olefin sulfonate, aroma, xanthan gum, sodium fluoride, sodium saccharin, sodium benzoate, cetylpyridinium chloride, ci 74160",75 ml,toothpaste,toothpaste,,cream_gel,unisex,unisex,fragranced,fragranced,False,True,False,False
3538396131604,Gel Douche - Haute tolérance - Mauve bio,Coslys,"aqua (water), sodium cocoyl glutamate, cocamidopropyl betaine, decyl glucoside, sodium chloride, malva sylvestris (mallow) flower/leaf/stem extract*, spiraea ulmaria flower water*, acacia senegal gum, aloe barbadensis leaf juice powder*, glycerin, parfum (fragrance), xanthan gum, sodium benzoate, levulinic acid, sodium levulinate, sodium dehydroacetate, citric acid. &quot;ingrédients issus de l'Agriculture Biologique / Ingredients from Organic Farming.",380 ml,shower_gel,shower_gel,cream_gel,liquid,unisex,unisex,fragranced,fragranced,True,True,True,True
7790375269326,Bagovit A Serum anti estrías,Bagovit,"Water, Glycerin, Butylene Glycol (and) Aqua (and) Cetyl Hydroxyethylcellulose (and) Rutin (and) Palmitoyl Tripeptide-1 (and) Palmitoyl Tetrapeptide-7 (and) Phaseolus Lunatus (Green Bean) Seed Extract, Bis-PEG-12 Dimethicone, Phenoxyethanol, Water (Aqua), Propylene glycol, Alcohol, Sodium Pca, Arginine, Lepidium meyenii (Maca) Root extract and Zingiber officinale (Ginger) Root extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Triethanolamine, Fragrance*, Disodium EDTA, Retinyl Palmitate.",75 ml,,body_cream,cream_gel,cream_gel,unisex,unisex,fragranced,fragranced,False,True,False,False
3600550313390,Eau micellaire physiologique visages et yeux,"Mixa, Mixa Expert, Mixa Expert Peaux sensibles","880091 11 - INGREDIENTS : AQUA / WATER, HEXYLENE GLYCOL, GLYCERIN, CITRIC ACID, DISODIUM COCOAMPHODIACETATE, DISODIUM EDTA, PANTHENOL, PEG-60 HYDROGENATED CASTOR OIL, POLOXAMER 184, POLYAMINOPROPYL BIGUANIDE, PARFUM /  FRAGRANCE. (F.I.L. B164978/1).",400 ml,,makeup,cream_gel,liquid,unisex,unisex,fragranced,fragranced,False,False,False,False
3660992005314,Crème lavante à l'huile d'amande douce,Bien vu,"Aqua, sodium laureth sulfate, sodium chloride, cocamidopropyl betaine, glycerin, PEG-60 almond glycerides, sodium styrene/acrylates copolymer, laureth-4, cocamide mipa, parfum, prunus amygdalus dulcis oil, tetrasodium edta, 2-bromo-2-nitropropane-1,3-diol, sodium hydroxide, sodium lauryl sulfate, potassium sorbate, trideceth-7, citric acid, tocopherol",500 ml,soap,shower_gel,cream_gel,liquid,unisex,unisex,fragranced,fragranced,False,False,False,False
3660005185187,paleta de sombras,yves Rocher,,,,makeup,,powder,unisex,women,,unknown,False,False,False,False
8906073148040,close up,Unilever,,150 g,,toothpaste,,,unisex,unisex,,unknown,False,False,False,False
7805000311346,Protección Anti-Caries,"Pepsodent,Unilever","Calcium Carbonate, Aqua, Sorbitol, Hydrated Silica, Sodium Lauryl Sulfate, Sodium monofluorophosphate 1.12%, Aroma, Potassium Citrate, Cellulose Gum, Benzyl Alcohol, Sodium Silicate, Sodium Saccharin, Limonene.",130 g (84 ml),toothpaste,toothpaste,,cream_gel,unisex,unisex,fragranced,fragranced,False,False,False,False
7624900123640,Bellena Hair Care Shampoo Ultra doux,Bellena,"Aqua, Sodium Laureth Sulfate, Cocamidopropyl Hydroxysultaine, Disodium Laureth Sulfosuccinate, Decyl Glucoside, Cocamidopropyl Betaine, Sodium Chloride, Glycerin, Polyquaternium-10, Citric Acid, Parfum, Sodium Benzoate  pH-hautneutral. Ohne Silikone. Hautver - träglichkeit dermatologisch bestätigt. pH-neutre à la peau. Sans silicone. Tolérance cutanée testée sous contrôle dermatolo - gique. A pH neutro per la pelle. Senza silicone. Tollerabilità cutanea confermata dermatologicamente.",300ml,shampoo,shampoo,liquid,liquid,unisex,unisex,fragranced,fragranced,False,False,False,False
8001090272232,Classic,blend-a-med,"Aqua, Sorbitol, Hydrated Silica, Sodium Lauryl Sulfate, Cellulose Gum, Aroma, Cl 77891, Trisodium Phosphate, Sodium Fluoride, Carbomer, Sodium Saccharin, Limonene, Eugenol, Polysorbate 80",75 ml,toothpaste,toothpaste,,cream_gel,unisex,unisex,fragranced,fragranced,False,True,False,False
3560070956784,Gel lavant mains tendresse,"Carrefour, Les Cosmétiques Design Paris, Nectar of nature","AQUA, ANTHEMIS NOBILIS FLOWER WATER, AMMONIUM LAURYL SULFATE, GLYCERIN, COCAMIDOPROPYL BETAINE, DECYL GLUCOSIDE, BENZYL ALCOHOL, SODIUM CHLORIDE, GLYCERYL LAURATE, PARFUM, COCONUT ACID, CITRIC ACID, BENZOIC ACID, DEHYDROACETIC ACID, POTASSIUM SORBATE, SODIUM BENZOATE, SODIUM HYDROXIDE, CITRUS RETICULATA PEEL EXTRACT, LIMONENE, LINALOOL.",300 ml,soap,soap,cream_gel,liquid,unisex,unisex,fragranced,fragranced,False,True,False,False
3140100047820,Crème capillaire Coiffage et Soin,Pétrole Hahn,"AQUA/WATER/EAU, PARAFFINUM LIQUIDUM/MINERAL OIL/HUILE MINERALE, SYNTHETIC BEESWAX, LIMONENE, CALCIUM HYDROXIDE, CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, CITRUS MEDICA LIMONUM (LEMON) PEEL OIL, LINALOOL, CITRAL, GERANIOL, (F01).",100 ml,,hair_care,cream_gel,cream_gel,unisex,unisex,,fragranced,False,False,False,False
3380390901284,La savonnette d'Alep,Douce Nature,"Sodium Olivate, Aqua, Sodium Laurelate (12%), Glycerin, Sodium Chloride, Sodium Hydroxide.",100 g,soap,soap,,solid_bar,unisex,unisex,,fragrance_free,False,True,False,False
8720181138232,AXE D�o Magnum 200mlx2,Axe,"Alcohol Denat., Butane, Isobutane, Propane, Parfum, Zinc Neodecanoate, Isopropyl Myristate, Citral, Citronellol, Coumarin, Geraniol, Limonene, Linalool.",400 ml,deodorant,deodorant,,spray,unisex,men,fragranced,fragranced,False,False,False,False
3502794230238,Savon cube lavande 300g,harmonie concept,"Sodium Palmate, Sodium Palm kernelate, Aqua, Palm kernel acid, Lavandula Hybrida Grosso Herb Oil, Glycerin, Sodium chloride,Tetrasodium EDTA, Tetrasodium etidronate, Cli 77891, CI 77007, CI 15850, Linalool.",300g,soap,soap,cream_gel,solid_bar,unisex,unisex,,fragranced,False,False,False,False
4005800137662,Nivea Creme,Nivea,"Aqua, Paraffinum Liquidum, Cera Microcristallina, Glycerin, Lanolin Alcohol (Eucerit), Paraffin, Panthenol, Magnesium Sulfate, Decyl Oleate, Octyldodecanol, Aluminum Stearates, Citric Acid, Magnesium Stearate, Sodium Anisate, Limonene, Geraniol, Hydroxycitronellal, Linalool, Citronellol, Benzyl Benzoate, Cinnamyl Alcohol, Parfum.",400 ml,face_cream,body_cream,cream_gel,cream_gel,unisex,unisex,fragranced,fragranced,False,False,False,False
3700216248261,Huile de noix de coco bio cosmétique,Planete Au Naturel,100% huile de Noix de Coco Bio 1 ère pression à froid.,500 ml,,other,cream_gel,liquid,unisex,unisex,,fragrance_free,False,True,True,True
7840010001184,Jabón de tocador Mar,"Mar, Trovato Cisa","Jabón de grasas naturales, aceite de coco, glicerina, sorbitol, antioxidantes, secuestrantes, trietanolamina, ácido graso de coco, cloruro de sodio, propilenglicol, perfume.",125 g,soap,soap,cream_gel,solid_bar,unisex,unisex,fragranced,fragranced,False,False,False,False
3178041300919,Protection Antibactérienne,"Henkel, Vademecum",,75 ml,toothpaste,toothpaste,,cream_gel,unisex,unisex,,unknown,False,False,False,False
0754590015844,CastorGuard,"Biome, biome",,50g,lip_balm,other,,,unisex,,,,False,False,False,False
4010355235671,Balea MEN Power Effect Anti-Schuppen Shampoo,Balea MEN,"Sorgfältig in das feuchte Haar einmassieren. kurz einwirken lassen und gründlich aus - spülen. Für die tägliche Anwendung geeignet HAUTVERTRÄGLICHKEIT dermatologisch bestätigt INGREDIENTS/SASTOJCI: AQUA SODIUM LAURETH SULFATE CO CAMIDOPROPYL BETAINE GLYCERIN PANTHENOL ZINC PYRI THIONE MENTHOL POLYQUATERNIUM-10 ALLANTOIN MENTHYL LACTATE ZINC SULFATE MENTHA SUAVEOLENS LEAF EXTRACT PARFUM SODIUM ACRYLATES COPOLYMER SODIUM CHLORIDE SODIUM SULFATE SODIUM POLYNAPHTHALENESULFONATE SODIUM CITRATE SODIUM BENZOATE CI 47005 CI 42051. @ Šampon pro muže proti lupům s obsahem zinku a pyrithionu, 250 ml. Dermatologicky testováno. Vyrobeno ve Švýcarsku. Distributor pro CR: dm drogerie markt s.r.o., Jeronýmova 1485/19, 370 01 Ceské Budějovice. Spotřebujte nejlépe do: data na obalu. Hergestellt in der Schweiz",250 ml,,shampoo,liquid,liquid,unisex,men,fragranced,fragranced,False,False,False,False
4067796130478,"Flussigseife Lavendel, Malve",Alverde,,500 ml,soap,soap,liquid,liquid,unisex,unisex,,fragranced,False,,False,True
4894532922994,Tea Tree Oil,Alia,Melaleuca Alternafolia (Tea Tree) Leaf Oil,10 ml,,other,cream_gel,liquid,unisex,unisex,,fragrance_free,False,True,False,False
3329310012495,Pâte d'argile,"Copar, Laboratoires Biocos, Lovea, Lovea Nature","illite/montmorillonite (green clay), aqua (water), glycerin, imidazolidinyl urea, chlorhexidine, digluconate, methylchloroisothiazolinone, methylisothiazolinone, magnesium nitrate, magnesium chloride.",360g,hair_care,other,,cream_gel,unisex,unisex,fragranced,unknown,False,True,False,False
3258561650104,Crème lavante peaux sensibles,Belle France,"Aqua, Sodium Laureth Sulfate, Sodium Chloride, Cocamidopropyl Betaine, PEG-4 Rapeseedamide, Glycerin, Parfum, Triclosan, PEG-60 Almond Glycerides, Methylisothiazolinone, Citric Acid, Coconut Acid, Alpha-Isomethyl Ionone, Benzyl Benzoate, Citronellol, Coumarin, Geraniol, Butylphenyl Methylpropional, Linalool, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde.",300 ml,soap,soap,cream_gel,liquid,unisex,unisex,fragranced,fragranced,False,False,False,False
7500435139571,Bourbon Manuka Honey Shampoo,"Bio Renew, Herbal Essences","AQUA, SODIUM LAURETH SULFATE, SODIUM CITRATE, COCAMIDOPROPYL BETAINE, STEARYL ALCOHOL, SODIUM LAURYL SULFATE, SODIUM CHLORIDE, SODIUM XYLENESULFONATE, CETYL ALCOHOL, PARFUM, SODIUM BENZOATE, CITRIC ACID, POLYQUATERNIUM-6, GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, TETRASODIUM EDTA, LINALOOL, HEXYL CINNAMAL, TRIHYDROXYSTEARIN, BENZYL SALICYLATE, HISTIDINE, HYDROXYCITRONELLAL, ALOE BARBADENSIS LEAF JUICE, CARTHAMUS TINCTORIUS SEED OIL, BOURBON EXTRACT, MEL EXTRACT, METHYLCHLOROISOTHIAZOLINONE, METHYLISOTHIAZOLINONE, ECKLONIA RADIATA EXTRACT.",400 ml,shampoo,shampoo,liquid,liquid,unisex,unisex,fragranced,fragranced,False,False,False,False
4058172062858,Dontodent Kräuter,"Dontodent, dm","SORBITOL, AQUA, HYDRATED SILICA, SODIUM C14-16 OLEFIN SULFONATE, AROMA, ALUMINA, DISODIUM PYROPHOSPHATE, CELLULOSE GUM, TETRAPOTASSIUM PYROPHOSPHATE, EUCALYPTUS GLOBULUS LEAF OIL, MENTHA ARVENSIS LEAF OIL, CHAMOMILLA RECUTITA FLOWER EXTRACT, SALVIA TRILOBA LEAF EXTRACT, COMMIPHORA MYRRHA RESIN EXTRACT, SODIUM FLUORIDE, ZINC CHLORIDE, SODIUM SACCHARIN, PROPYLENE GLYCOL, LIMONENE, CI 74160, CI 77492, CI 77891",125ml,toothpaste,toothpaste,cream_gel,cream_gel,unisex,unisex,fragranced,fragranced,False,True,False,False
3660005551241,Crème mains hydratante longue durée,Yves Rocher,"Eau / Water, Isopropyl Myristate, Glycerine, Glyceryl stearatecitrate, jus de feuille d'Aloe vera barbarensis / Aloevera barbarensis leaf juice, Dimethicone, Caprylic / Capric triglyceride, Eau de fleur de Camomille Romaine / Anthemis nobilis flower water, Glyceryl stearate se, Betaine sodium benzoate, Parfum / Fragrance, Gomme de Xanthane / Xanthane gum , Acide citrique / Citric acid, Acide salicylique / Salicylic acid, Sorbate de potassium / Potassium sorbate",75 ml,hand_cream,hand_cream,cream_gel,cream_gel,unisex,unisex,fragranced,fragranced,False,False,False,False
4058172336256,Clear Fresh Zahnpasta,DM Donto Dent,"Aqua,Sorbitol,Hydrated Silica, Propylene Glycol,Disodium, Olefin Sulfate,Aroma, Cellulose Gum, Sodium Fluoride, Zinc Chloride, Sodium Saccharin,Mica, Limonene",125 ml,toothpaste,toothpaste,,cream_gel,unisex,unisex,fragranced,fragranced,True,True,False,False
7908240506937,Creme Facial Renovação Esfoliante,Max Love,"Aqua, Cetearyl Alcohol, Ceteareth-20, Polyethylene, Butyrospermum Parkii Shea Butter, Glycerin, Rosa Canina Fruit Oil, Niacinamide, Caprylic Triglyceride (Capric Triglyceride), Phenoxyethanol, Parfum, Disodium Edta, CI 60725, Calendula Officinalis Flower Extract, Methylparaben, Propylparaben, Isobutylparaben, Ethylparaben, Butylparaben, Limonene, Butylphenyl Methylpropional, Linalool, Citronellol.",50 g,,face_cream,cream_gel,cream_gel,unisex,unisex,fragranced,fragranced,False,False,False,False
5054563105141,SENSODYNE,gskmcondumer health are,,100 ml,,toothpaste,,,unisex,unisex,,unknown,False,False,False,False
5060018594255,Dentifrice coconut oil and aloe vera,copura,"Aqua (Water), Hydrated Silica, Glycerin, Sorbitol, Xylitol, Cellulose Gum, Krameria Triandra Root Extract, Aloe Barbadensis Leaf Juice Powder, Bisabolol, Cocos Nucifera (Coconut) Oil, Aroma (Flavour), Mentha Piperita (Peppermint) Oil, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Glycyrrhetinic Acid, Menthol, Cocamidopropyl Betaine, Sodium Benzoate.",100 ml,toothpaste,toothpaste,cream_gel,cream_gel,unisex,unisex,fragranced,fragranced,False,True,False,False
3600541361331,Garnier Skin Naturals Express 2-In-1 Oogreinigingslotion,garnier,,125ml - Gevoelige huid,,makeup,,liquid,unisex,unisex,,unknown,False,False,False,False
3282770100778,SunsiMed,"Avène, Pierre Fabre","AVENE THERMAL SPRING WATER (AVENE AQUA). METHYLENE BIS-BENZOTRIAZOLYL TETRAMETHYLBUTYLPHENOL [NANO], BIS-ETHYLHEXY LOXYPHENOL METHOXYPHENYL TRIAZINE. DIETHYLHEXYL BUTAMIDO TRIAZONE. BUTYL METHOXYDIBENZOYLMETHANE. BENZOIC ACID. CAPRYLYL GLYCOL. TOCOPHERYL GLUCOSIDE. EXCIPIENTS.",80 ml,sunscreen,sunscreen,,cream_gel,unisex,unisex,,fragrance_free,False,True,False,False
3760354680316,Savon zenzitude,Zenzitude,"Sodium Cocoate **, Sodium cocoa Butterate **, Sodium Olivate **, Sodium Sunflowerseedate **, Aqua, Glycerin, Sodium Hempseedate **, Theobroma Cacao Seed Butter *, Citrus Reticulata Peel Oil *, Theobroma Cacao Seed Powder, Limonene ***, Linalool *** * Issus de l’agriculture biologique ** Transformés à partir d’ingrédients issus de l’agriculture biologique *** Allergènes naturellement présents dans les huiles essentielles",100g,soap,soap,powder,solid_bar,unisex,unisex,,fragranced,False,True,False,True
3337871320331,Déodorant vaporisateur ultra-frais,Vichy Homme,"ALCOHOL DENAT. , AQUA / WATER, PARFUM / FRAGRANCE, DIPROPYLENE GLYCOL, LACTIC ACID, TRIETHANOLAMINE, ZINC RICINOLEATE, (Code F.I.L. : C29418/1)",100 ml,deodorant,deodorant,,spray,men,men,fragranced,fragranced,False,False,False,False
3567730300239,Bio Capilargil Specific Shampooing Argile et Extraits végétaux Pellicules,Dermaclay,AQUA - COCAMIDOPROPYL BETAINE - DISODIUM COCOAMPHODIACETATE - SODIUM MYRISTOYL GLUTAMATE - CUPRESSUS SEMPERVIRENS FLOWER WATER - THYMUS VULGARIS FLOWER WATER - SALVIA OFFICINALIS FLOWER WATER - ROSMARINUS OFFICINALIS FLOWER WATER - SODIUM LAURYL SULFOACETATE - ILLITE - VETIVERIA ZIZANOIDE ROOT OIL - FOENICULUM VULGARE OIL - CEDRUS ATLANTICA BARK OIL - MENTHA PIPERITA OIL - JUNIPERUS OXYCEDRUS WOOD OIL - HYDROLIZED WHEAT PROTEIN - DECYL GLUCOSIDE - GLYCERYL LAURATE - DICAPRYLYL ETHER - COCOGLUCOSIDE - GLYCERYL OLEATE - MARIS SAL - LAURYL ALCOHOL - CAPRYLOYL GLYCINE - DEHYDROACETIC ACID - CITRIC ACID - SODIUM BENZOATE - BENZYL ALCOHOL,250 ml,shampoo,shampoo,liquid,liquid,unisex,unisex,,fragranced,True,True,True,True
3245678078877,Liquide vaisselle -Peaux Sensibles Ecolabel 500mL,"Auchan, Better life","5% ou plus, mais moins de 15%: agents de surface anioniques. Moins de 5 %: agents de surface amphotères. Également: Acide L-(+)-lactique (conservateur).",0.5 l,,other,liquid,liquid,unisex,unisex,,unknown,False,,False,False
5425032882083,Disposable Medical Mask,TCare,,,,other,,,unisex,unisex,,,False,False,False,False
3284410017262,Savon extra-riche,Melvita,"Sodium Palmate*, Sodium Palm Kernelate*, Aqua [Water], Butyrospermum Parkii Butter [Butyrospermum Parkii (Shea Butter)]*, Glycerin, Argania Spinosa Oil [Argania Spinosa Kernel Oil]*, Cocos Nucifera Oil [Cocos Nucifera (Coconut) Oil]*, Sodium Chloride, Sodium Gluconate. *Ingrédients issus de l’Agriculture Biologique",150 g,soap,soap,cream_gel,solid_bar,unisex,unisex,fragranced,unknown,False,False,True,True
3574661042237,Déodorant Huile essentielle de Sauge - Karité Soin,Le Petit Marseillais,,50 ml,deodorant,deodorant,cream_gel,other,unisex,unisex,,fragranced,False,False,False,False
3140100143065,Shampooing force vitalité Huiles essentielles de citrus,"Eugène Perma, Pétrole Hahn","AQUA/WATER/EAU, SODIUM LAURETH SULFATE, COCAMIDOPROPYL BETAINE, SODIUM CHLORIDE, PEG-40 HYDROGENATED CASTOR OIL, PARFUM (FRAGRANCE), GUAR HYDROXYPROPYLTRIMONIUM CHLORIDE, LIMONENE, DMDM HYDANTOIN, CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL, CITRUS AURANTIUM BERGAMIA (BERGAMOT) PEEL OIL, CITRUS LIMON (LEMON) PEEL OIL, CITRIC ACID, PANTHENOL, LINALOOL, CITRAL, YELLOW 5 (CI 19140), GREEN 5 (CI 61570), CITRONELLOL, GERANIOL, SODIUM HYDROXIDE, LAURETH-2, (F04)",250 mL,shampoo,shampoo,liquid,liquid,men,unisex,fragranced,fragranced,False,False,False,False
3518646213014,Bactidose Gel hygiène mains,"Bactidose, Laboratoires Gilbert","Le Gel Hydroalcoolique permet un nettoyage et une désinfection rapide des mains sans rinçage. Bactericide, Levuricide, Virucide et efficace sur les virus de la gastroenterite. Hypoallergénique. Ne dessèche pas les mains. Contient des agents hydratants. Substance active: Ethanol 70% (v/v), CAS: 64-17-5. Lire les instructions (ci-jointes) avant l'emploi. Appliquer une noisette de gel (3 mL) dans le creux de la main et frictionner les mains pendant 30 secondes. Tenir hors de portée des enfants. Ne pas avaler. En cas de consultation d'un médecin, garder à disposition le récipient ou l'étiquette. Ne pas mettre en contact avec les yeux et les muqueuses. Ne pas appliquer sur une peau lésée. Eliminer le contenu/récipient conformément à la législation actuelle de traitement des déchets. A utiliser de préférence avant / N° de lot:",75 ml,,other,cream_gel,cream_gel,unisex,unisex,fragrance_free,unknown,False,False,False,False
4015100723885,Fa MEN Sport,Schwarzkopf & Henkel,"Aqua, sodium laureth Sulfate, cocamidopropyl betaine, sodium Chloride, Parfum, glycol distearate, cocamide MEA, propylene glycol, glyceryl laurate, laureth-10, PEG-40, hydrogenated Castor oil, PEG-55 propylene glycol oleate, sodium Hydroxide, citric Acid, linalool, Limone, coumarin, sodium benzoate, sodium salicylate, Formica Acid, benzyl Alkohol, CI 42090, CI 117200",400ml,shower_gel,shower_gel,liquid,liquid,unisex,men,fragranced,fragranced,False,False,False,False
4045612007630,Festes Shampoo,CD,"INGREDIENTS: Disodium Lauryl Sulfosuccinate, Sodium Coco-Sulfate, Triticum Vulgare Starch, Cetearyl Alcohol, Hydrogenated Palm Glycerides, Aqua, Lauryl PCA, Sodium Cocoyl Isethionate, Cocamidopropyl Betaine, Parfum, Glyceryl Stearate, Ricinus Communis Seed Oil, Persea Gratissima Oil, Olea Europaea Fruit Oil, Sodium Chloride, Coumarin, Limonene, Linalool, CI 77891.",75g,,shampoo,liquid,solid_bar,unisex,unisex,fragranced,fragranced,False,False,False,False
