code,product_name,brands,ingredients_text,quantity,silver_chocolate_type,manual_chocolate_type,silver_cocoa_percentage,manual_cocoa_percentage,silver_contains_nuts,manual_contains_nuts,silver_chocolate_extra,manual_chocolate_extra,silver_is_organic,manual_is_organic,silver_nutri_score_grade,manual_nutri_score_grade,silver_protein_class,manual_protein_class
3248652765183,Chocolat noir pâtissier dessert,Monoprix,"Pâte de cacao*, sucre*, beurre de cacao*, émulsifiant : lécithines, extrait naturel de vanille*. Traces de lait, soja, gluten, fruits à coques et oeuf.",200 g,dark,dark,,50-70,False,False,with_fruit,plain,False,True,E,E,med,low
5000159510769,Smooth Milk Chocolate Bar (110g),Galaxy,"Sugar, skimmed _milk_ powder, cocoa butter, cocoa mass, _milk_ fat, palm fat, _lactose_, whey permeate (_milk_), emulsifier (_soya_ lecithin), vanilla extract.",110g,milk,milk,,<30,False,False,plain,plain,False,False,E,E,med,med
4000417025005,MARZIPAN DARK CHOCOLATE WITH MARZIPAN,Ritter SPORT,"sugar, cocoa mass, almonds (16%), cocoa butter, invert sugar syrup, emulsifier (lecithins (soy)), humectant (invertase), natural flavouring, may contain traces of peanuts, other nuts, gluten, milk and egg,",100 g,dark,filled,,50-70,True,True,filled,filled,False,False,E,E,med,med
4066447362527,Schokoriegel Keks,DmBio,"Rohrohrzucker, 22% _Vollmilchpulver_, Kakaobutter, 12% Mürbkeks (_Weizenmehl_, Rohrohrzucker, Sonnenblumenöl. Zuckerrübensirup, Meersalz), Kakaomasse","37,5 g",,milk,,<30,False,False,with_cookie,with_cookie,True,True,E,E,med,med
3222474102012,Noir Tanzanie 85% aux amandes effilées intense et croquant,"Casino, Délices","Pâte de cacao* de Tanzanie 68% - sucre - beurre de cacao* - amandes effilées grillées 10% - arôme naturel de  vanille. Cacao : 85% minimum dans le chocolat. Traces de gluten, lait, d'oeufs, de soja et de fruits à coque.   * Certifié Rainforest Alliance. Pour en savoir plus: www.ra.org",100 g,dark,dark,85+,85+,True,True,with_nuts,with_nuts,False,False,D,E,med,med
3270190156833,Mini barrita de chocolate con corazón de leche,Carrefour,"Azúcar, leche entera en polvo 25% (15% en el relleno), grasa de palma y palmiste, manteca de cacao, pasta de cacao, leche desnatada en polvo, aceite de girasol, emulgente: lecitinas (girasol), aromas. Cacao: mínimo 30% en el chocolate con leche.",200 g,,filled,,30-50,False,False,filled,filled,True,False,E,E,med,med
7771711000490,Fine Dark Chocolate,El Ceibo,"Cocoa mass, sugar, cocoa butter, soy lecithin.",0.7 oz (20 g),dark,dark,,70-85,False,False,plain,plain,True,False,C,E,,low
3664346304863,Chocolate Orange Milk,Terry's,"Sugar, cocoa mass, cocoa butter, skimmed milk powder, whey powder (from milk), vegetable fats (palm, shea), milk fat, emulsifiers (soya lecithins, E476), orange oil, flavouring. May contain nuts, wheat. MILK SOLIDS 14 % MINIMUM. COCOA SOLIDS 25% MINIMUM. CONTAINS VEGETABLE FATS IN ADDITION TO COCOA BUTTER. B Rec INSERT",157 g,milk,milk,,<30,True,False,with_fruit,with_fruit,False,False,E,E,med,low
4014400917956,Finest Selection Mandel Knusper Vielfalt,"merci,Storck","Zucker, Kakaobutter, Vollmilchpulver, Kakaomasse, Mandeln, Sahnepulver, Haselnüsse (3,8 %), Milchzucker, Buttermilchpulver, Magermilchpulver, Reismehl, Emulgator Lecithine (Soja), Glukosesirup, Honig, Weizeneiweiß, pflanzliche Fette (Kokos, Palm), Salz, Weizenmalz, Aromen, gehackte Pistazien, Hühnerei-Eiweiß, Kartoffelstärke, Vollmilchschokolade mit Nuss - und Mandelstückchen,",250g,,milk,,<30,True,True,with_nuts,with_nuts,False,False,E,E,med,med
5059697710001,Dark milk chocolate,Tesco,"Dried Whole _Milk_, Cocoa Mass, Cocoa Butter, Sugar.",100g,milk,milk,,30-50,False,False,plain,plain,False,False,E,E,med,med
4056489156185,Dark,"Weinrich,Lidl,Fin Carré","cocoa paste, sugar, cocoa butter, emulsifier: lecithins (sunflower)",180g,dark,dark,,70-85,False,False,plain,plain,False,False,E,E,med,low
5000129358384,Chocolate For Change Gianduja,Co Op,"Sugar, Cocoa Mass, Hazelnut Paste (20%), Cocoa Butter, Emulsifier (Lecithins (Soya)), Vanilla Extract.",100 g,dark,other,,30-50,True,True,filled,with_nuts,False,False,E,E,med,med
3270190117209,Noir amandes entieres,Carrefour,"Pâte de cacao, sucre, _amandes_ entières grillées 25 %, beurre de cacao, émulsifiant: lécithines, arôme naturel de vanille. Cacao : 55 % minimum. Peut contenir des traces de lait, de soja et d´autres fruits à coque.",200 g,dark,dark,,50-70,True,True,with_nuts,with_nuts,False,False,D,E,med,med
4000417702005,PUUR HELE HAZELNOOT,Ritter Sport,"sugar, cocoa mass, hazelnuts , cocoa butter, butter fat , emulsifier: lecithins ( soya ),",100 gram,dark,dark,,50-70,True,True,with_nuts,with_nuts,False,False,E,E,med,med
4000539213809,Lindt hello vegan Haselnuss,Lindt&Sprüngli,"Zucker, Haferdrinkpulver (Hafer - sirup (70%), Maltodextrin), Kakaobutter Haselnüsse. Mandeln. Kakaomasse Emulgator (Sojalecithin) natürliche Aromen. Glutenfreier Hafer",100 g,,milk,,<30,True,True,with_nuts,with_nuts,False,False,E,E,med,med
4056489182788,Chocolat,"Favorina, Lidl","Zucchero, burro di cacao, 16% latte scremato in polvere, pasta di cacao, olio di palma, burro chiarificato (CH: burro disidratato), siero di latte dolce in polvere, 2% latte intero in polvere, emulsionante: lecitine (girasole); pasta di nocciole, aroma naturale di vaniglia. Può contenere tracce di altra frutta a guscio, arachidi, cereali contenenti glutine e soia.",136.5 g,,milk,,<30,True,True,with_nuts,with_nuts,False,False,E,E,med,med
23281028,Ganze Mandel Edel-Rahmschokolade,Chocola,"Zucker, _Mandeln_ 27%, Kakaobutter, _Sahnepulver_ 12%, Kakaomasse, _Vollmilchpulver_ 3,5%, _Süßmolkenpulver_, Emulgator: _Sojalecithine_.",200 g,milk,milk,,30-50,True,True,with_nuts,with_nuts,False,False,E,E,med,med
8004735107678,Cioccolato Fondente Extra 70%,Zaini,"Pasta di cacao, zucchero, cacao magro in polvere, emulsionante: lecitina di soia, aroma naturale di vaniglia.",75 g,dark,dark,50-70,70-85,False,False,plain,plain,False,False,E,E,med,med
4013320298169,Fairetta Coco & Rice,Gepa,"Kokosnuss,Haselnusspaste,Brauner Rohrzucker,Kakaobutter,Vanilleextrakt,Unraffinierter Rohrzucker,Reisgetränkpulver,Kakaopaste",45g,,other,,<30,True,True,with_nuts,with_nuts,False,False,E,E,low,low
4099200063591,Vaniglia bourbon,Moser Roth,"Zucchero, burro di cacao, latte intero in polvere (20,3%), latte scremato in polvere, burro anidro, emulsionante: lecitine (di soia), estratto di vaniglia Bourbon, sale, vaniglia Bourbon macinata. Può anche contenere tracce di nocciole, mandorle, arachidi e altra frutta a guscio.",125 g,white,white,,<30,True,False,with_nuts,plain,False,False,E,E,med,med
4000417296009,Gebrannte Mandel,RITTER SPORT,"Zucker, Kakaobutter, Kakaomasse, _Vollmilchpulver_, _Mandeln_ (7,5%), _Laktose_, _Magermilchpulver_, _Buttereinfett_, Emulgator: Lecithine (_Soja_)",100 g,milk,milk,,<30,True,True,with_nuts,with_nuts,False,False,E,E,med,med
8410083000804,Atlántic chocolate negro edulcorado 60% cacao,Eureka,"Edulcorante: maltitol (E-965) 39%, pasta de cacao, manteca de cacao, cacao en polvo desgrasado, emulgente: lecitina de _soja_ (E-322) y aroma: vainilla.  Cacao: 60% mínimo",125 g,dark,dark,50-70,50-70,False,False,plain,plain,False,False,C,,med,
4260011277464,Republic of Ghana Puristique,Coppeneur,Kakaomasse.,50 g,dark,dark,,85+,False,False,plain,plain,True,False,D,C,med,med
8717677336616,Dark Almond and Sea Salt,Tony's Chocolonely,"Cocoa mass, sugar, almonds 10%, cocoa butter, sea salt 0.5%, emulsifier (soy lecithin). Cocoa solids 51% minimum.",180 g,dark,dark,,50-70,True,True,with_nuts,with_nuts,False,False,E,E,med,med
8410109002775,Cobertura de chocolate negro,El Corte Inglés,"Azúcar, pasta de cacao, manteca de cacao, emulgente: lecitina de _soja_ (E-322) y aroma: vainillina. Cacao: 52 % mínimo.",200 g,dark,dark,,50-70,False,False,plain,plain,False,False,,E,med,low
7610400013864,SWISS PREMIUM CHOCOLATE Alpenvollmilch Nuss,"Lindt, Lindt & Sprüngli","Zucker, Kakaobutter, Haselnüsse (15%), Vollmilchpulver, Kakaomasse, Milchzucker, Magermilchpulver, Emulgator (Sojalecithin), Gerstenmalzextrakt, Aroma,",300 g,milk,milk,,<30,False,True,with_nuts,with_nuts,False,False,E,E,med,med
8002330017620,Cioccolato extra fondente,"Domori, Esselunga, Top","Pasta di cacao fine, zucchero di canna",100 g,dark,dark,,70-85,False,False,plain,plain,False,False,D,E,med,low
3560070776177,Noir noisettes entieres,Carrefour Extra,"Pâte de cacao, sucre, _noisettes_ entières torréfiées 25%, beurre de cacao, matière grasse de _lait_ anhydre, émulsifiant : lécithines. Cacao : 50% minimum dans le chocolat noir. Peut contenir des traces de céréales contenant du gluten, de soja, d'œufs et d'autres fruits à coque.",200 g,dark,dark,,30-50,True,True,with_nuts,with_nuts,False,False,E,E,med,med
4006040396017,Faire Schokolade Zartbitter Nougat,Rapunzel,"Zartbitter Schokolade 50%: Kakaomasse, Rohrzucker, Kakaobutter, Emulgator: Sonnenblumenlecithin, Bourbon Vanille. Füllung 50 %: Rohrzucker, _Haselnusspaste_ 18 %, Kakaobutter, _Vollmilchpulver_, Kakaomasse, Emulgator: Sonnenblumenlecithin",100 g,dark,filled,,50-70,False,True,with_caramel,filled,True,False,E,E,med,med
7771712001380,Chocolate Amargo con Coca,Chocolates Tabú,"Licor de cacao, azúcar, mantequilla de cacao, lecitina de soya (emulsionante), almendra, leche entera en polvo, glucosa, sorbitol, extracto de vainilla, hojas de coca deshidratadas, mantequilla de leche, amarillo 5, azul 1.",50 g | 1.8 oz,milk,dark,,50-70,False,True,with_nuts,with_nuts,False,False,E,E,med,med
8410109000115,Chocolate puro avellanas enteras 52% cacao,Valor,"Azúcar, pasta de cacao, _avellanas_ (20%), manteca de cacao, emulgente: lecitina de _soja_, aroma, Cacao: 52 % mínimo,",250 g,dark,dark,50-70,50-70,False,True,with_nuts,with_nuts,False,False,E,E,med,med
7771712000192,Chocolate con Leche,Chocolates Para Ti,"Maltitol, leche entera en polvo, mantequilla de cacao, licor de cacao, nuez del brasil, lecitina de soya (emulsionante), extracto de vainilla, esencia artificial de caramelo.",100 g | 3.5 oz,milk,milk,,<30,True,True,with_caramel,with_nuts,False,False,,E,,med
3045140118106,Milka - Noisette Entières - Maxi Format,"Milka, Mondelez","Sucre, NOISETTES, beurre de cacao, pâte de cacao, LAIT écrémé en poudre, lactosérum en poudre (de LAIT), BEURRE concentré, émulsifiant (lécithines de SOJA), pâte de NOISETTE, arôme.",200 g,milk,milk,,<30,True,True,with_nuts,with_nuts,False,False,E,E,med,med
4255582807561,Chocolate Bar Berries,KoRo,"92,5% Bitterschokolade (Rohrohrzucker*, Kakaomasse*, Kakaobutter&quot;), 4% Erdbeerstücke gefriergetrocknet*, 3,5% Himbeerstücke gefriergetrocknet*.",50g,,dark,,85+,False,False,with_fruit,with_fruit,True,True,E,D,low,low
3596710354672,Auchan bio max haveleard chocolat degustation lait noisettes 100g,"Auchan, Auchan Bio","Sucre de canne, poudre de _lait_ entier, beurre de cacao, pâte de cacao du Pérou 9,2%, éclats de _noisettes_ 8%, émulsifiant : lécithine de _soja_, arôme naturel vanille.",0.1 kg,milk,milk,,<30,True,True,with_nuts,with_nuts,True,True,E,E,,med
4006040202844,Nirwana Noir 55% Kakao mit dunkler Praliné-​Füllung,Rapunzel,"Zucker (Vollrohrzucker, Rohrzucker), Kakaomasse, _Haselnüsse_ 20%, Kakaobutter, Kakaopulver, Bourbon Vanille.",100 g,dark,filled,50-70,50-70,False,True,filled,filled,True,False,E,E,med,med
